Name,Pos,Team,Year,Games Plyd,Rush,Rush Yards,Rush TD,Target,Catch,Catch yards,Catch TD,Pass,Complete,Pass Yards,Pass TD,Int,Fum
"Adams, Charlie",WR,DEN,2005,15,5,14,,36,21,203,,,,,,,
"Addai, Joseph",RB,IND,2006,16,226,1081,7,50,40,325,1,,,,,,2
"Addai, Joseph",RB,IND,2007,15,261,1072,12,49,41,364,3,,,,,,
"Adkisson, James",TE,OAK,2006,1,,,,2,1,9,,,,,,,
"Aiken, Sam",WR,BUF,2005,6,,,,14,4,57,,,,,,,
"Aiken, Sam",WR,BUF,2007,12,,,,2,1,10,,,,,,,
"Alexander, Shaun",RB,SEA,2005,16,370,1880,27,28,15,78,1,,,,,,1
"Alexander, Shaun",RB,SEA,2006,10,252,896,7,16,12,48,,,,,,,3
"Alexander, Shaun",RB,SEA,2007,13,207,716,4,25,14,76,1,,,,,,
"Alexander, Stephen",TE,DEN,2005,15,,,,39,21,170,1,,,,,,
"Alexander, Stephen",TE,DEN,2006,13,,,,33,18,160,2,,,,,,
"Allison, Aundrae",WR,MIN,2007,11,2,3,,18,8,122,,,,,,,1
"Alstott, Mike",RB,TB,2005,16,34,80,6,38,25,222,1,,,,,,
"Alstott, Mike",RB,TB,2006,15,60,171,3,38,21,85,,,,,,,1
"Amey, Otis",WR,SF,2005,2,,,,2,,,,,,,,,
"Anderson, Courtney",TE,OAK,2005,12,,,,50,24,303,3,,,,,,
"Anderson, Courtney",TE,OAK,2006,15,,,,47,25,285,2,,,,,,
"Anderson, Damien",RB,ARI,2005,1,2,7,,0,,,,,,,,,
"Anderson, David",WR,HOU,2006,2,,,,5,1,27,,,,,,,
"Anderson, David",WR,HOU,2007,8,,,,17,12,131,1,,,,,,
"Anderson, Deon",RB,DAL,2007,8,,,,6,6,55,,,,,,,
"Anderson, Derek",QB,CLE,2007,16,32,70,3,,,,,527,298,3787,29,19,2
"Anderson, Mike",RB,DEN,2005,15,239,1014,12,20,18,212,1,,,,,,2
"Anderson, Mike",RB,BAL,2006,13,39,183,1,15,9,54,,,,,,,
"Anderson, Mike",RB,BAL,2007,8,15,62,,4,4,26,,,,,,,1
"Angulo, Richard",TE,MIN,2005,1,,,,1,1,11,,,,,,,
"Angulo, Richard",TE,JAC,2007,5,,,,9,8,81,1,,,,,,
"Armstrong, Derick",WR,HOU,2005,8,,,,12,9,115,,,,,,,
"Aromashodu, Devin",WR,IND,2007,6,,,,17,7,96,,,,,,,
"Arrington, J.J.",RB,ARI,2005,15,112,370,2,33,25,139,,,,,,,1
"Arrington, J.J.",RB,ARI,2006,12,14,19,,10,8,58,,,,,,,
"Arrington, J.J.",RB,ARI,2007,16,26,78,,40,29,241,1,,,,,,
"Askew, B.J.",RB,NYJ,2005,2,13,59,,1,1,11,,,,,,,
"Askew, B.J.",RB,NYJ,2006,10,6,11,,13,9,50,,,,,,,
"Askew, B.J.",RB,TB,2007,13,,,,21,18,175,,,,,,,
"Austin, Miles",WR,DAL,2007,16,,,,10,5,76,,,,,,,
"Avant, Jason",WR,PHI,2006,5,,,,15,7,68,1,,,,,,1
"Avant, Jason",WR,PHI,2007,15,1,1,,33,23,267,2,,,,,,
"Ayanbadejo, Obafemi",RB,ARI,2005,16,22,46,,45,34,231,,,,,,,1
"Ayanbadejo, Obafemi",RB,ARI,2006,11,9,37,,19,17,139,,,,,,,
"Bajema, Billy",TE,SF,2005,8,,,,9,5,54,,,,,,,
"Bajema, Billy",TE,SF,2006,1,,,,1,,,,,,,,,
"Bajema, Billy",TE,SF,2007,14,,,,1,,,,,,,,,
"Baker, Chris",TE,NYJ,2005,8,,,,26,18,269,1,,,,,,1
"Baker, Chris",TE,NYJ,2006,16,,,,46,31,300,4,,,,,,
"Baker, Chris",TE,NYJ,2007,15,,,,61,41,409,3,,,,,,1
"Banks, Tony",QB,HOU,2005,1,2,-2,,,,,,25,14,173,1,2,
"Barber, Marion",RB,DAL,2005,12,138,538,5,24,18,115,,,,,,,
