Name,Pos,Team,Year,Games Plyd,Rush,Rush Yards,Rush TD,Target,Catch,Catch yards,Catch TD,Pass,Complete,Pass Yards,Pass TD,Int,Fum
"Abdullah, Rabih",RB,CHI,2003,12,18,37,,9,8,55,,,,,,,
"Abdullah, Rabih",RB,NE,2004,6,13,13,1,2,1,9,,,,,,,
"Adams, Charlie",WR,DEN,2005,15,5,14,,36,21,203,,,,,,,
"Aiken, Sam",WR,BUF,2003,3,,,,8,3,35,,,,,,,
"Aiken, Sam",WR,BUF,2004,11,,,,18,11,148,,,,,,,
"Aiken, Sam",WR,BUF,2005,6,,,,14,4,57,,,,,,,
"Alexander, Shaun",RB,SEA,2003,16,326,1435,14,61,42,295,2,,,,,,3
"Alexander, Shaun",RB,SEA,2004,16,353,1688,16,39,23,170,4,,,,,,3
"Alexander, Shaun",RB,SEA,2005,16,370,1880,27,28,15,78,1,,,,,,1
"Alexander, Stephen",TE,SD,2003,2,,,,5,,,,,,,,,
"Alexander, Stephen",TE,DET,2004,16,,,,75,41,377,1,,,,,,
"Alexander, Stephen",TE,DEN,2005,15,,,,39,21,170,1,,,,,,
"Allen, David",RB,JAX,2003,4,4,8,,7,6,60,1,,,,,,
"Allen, David",RB,JAX,2004,2,,,,2,2,8,,,,,,,
"Alston, Richard",WR,CLE,2004,1,,,,1,,,,,,,,,
"Alstott, Mike",RB,TB,2003,4,27,77,2,12,10,83,,,,,,,
"Alstott, Mike",RB,TB,2004,14,67,230,2,40,29,202,,,,,,,2
"Alstott, Mike",RB,TB,2005,16,34,80,6,38,25,222,1,,,,,,
"Amey, Otis",WR,SF,2005,2,,,,2,,,,,,,,,
"Anderson, Courtney",TE,OAK,2004,8,,,,22,13,175,1,,,,,,
"Anderson, Courtney",TE,OAK,2005,12,,,,50,24,303,3,,,,,,
"Anderson, Damien",RB,ARI,2003,11,18,68,,12,6,36,,,,,,,
"Anderson, Damien",RB,ARI,2004,1,1,2,,0,,,,,,,,,
"Anderson, Damien",RB,ARI,2005,1,2,7,,0,,,,,,,,,
"Anderson, Mike",RB,DEN,2003,10,70,257,3,16,12,53,2,,,,,,
"Anderson, Mike",RB,DEN,2005,15,239,1014,12,20,18,212,1,,,,,,2
"Anderson, Richie",RB,DAL,2003,15,70,306,1,90,69,493,4,,,,,,
"Anderson, Richie",RB,DAL,2004,11,57,246,1,43,26,202,,,,,,,1
"Anderson, Scotty",WR,DET,2003,7,,,,28,17,325,2,,,,,,
"Angulo, Richard",TE,STL,2003,1,,,,1,,,,,,,,,
"Angulo, Richard",TE,MIN,2005,1,,,,1,1,11,,,,,,,
"Armstrong, Derick",WR,HOU,2003,5,,,,11,7,75,1,,,,,,
"Armstrong, Derick",WR,HOU,2004,13,,,,40,29,415,1,,,,,,
"Armstrong, Derick",WR,HOU,2005,8,,,,12,9,115,,,,,,,
"Arrington, J.J.",RB,ARI,2005,15,112,370,2,33,25,139,,,,,,,1
"Askew, B.J.",RB,NYJ,2003,1,2,9,,,,,,,,,,,
"Askew, B.J.",RB,NYJ,2004,3,6,23,,2,2,12,,,,,,,
"Askew, B.J.",RB,NYJ,2005,2,13,59,,1,1,11,,,,,,,
"Avery, John",RB,MIN,2003,4,1,0,,4,2,24,1,,,,,,
"Ayanbadejo, Obafemi",RB,MIA,2003,4,1,-2,,13,12,53,,,,,,,
"Ayanbadejo, Obafemi",RB,ARI,2004,14,30,122,3,25,19,171,1,,,,,,
"Ayanbadejo, Obafemi",RB,ARI,2005,16,22,46,,45,34,231,,,,,,,1
"Baber, Billy",TE,KC,2003,1,,,,1,1,20,,,,,,,
"Baber, Billy",TE,TB,2004,1,,,,1,1,7,,,,,,,
"Bailey, Karsten",WR,GB,2003,1,,,,1,,,,,,,,,
"Bajema, Billy",TE,SF,2005,8,,,,9,5,54,,,,,,,
"Baker, Chris",TE,NYJ,2003,10,,,,17,14,137,,,,,,,
"Baker, Chris",TE,NYJ,2004,12,,,,32,18,182,4,,,,,,1
"Baker, Chris",TE,NYJ,2005,8,,,,26,18,269,1,,,,,,1
"Banks, Tony",QB,HOU,2003,6,6,27,,,,,,102,61,693,5,3,
"Banks, Tony",QB,HOU,2004,2,,,,,,,,2,1,16,,,
"Banks, Tony",QB,HOU,2005,1,2,-2,,,,,,25,14,173,1,2,
"Bannister, Alex",WR,SEA,2003,7,,,,11,3,61,1,,,,,,
"Bannister, Alex",WR,SEA,2004,2,,,,3,2,10,,,,,,,
"Barber, Marion",RB,DAL,2005,12,138,538,5,24,18,115,,,,,,,
"Barber, Tiki",RB,NYG,2003,16,278,1215,2,97,69,461,1,,,,,,6
"Barber, Tiki",RB,NYG,2004,16,322,1518,13,78,52,578,2,,,,,,2
"Barber, Tiki",RB,NYG,2005,16,357,1860,9,71,54,530,2,,,,,,1
"Barlow, Kevan",RB,SF,2003,16,201,1024,6,43,35,307,1,,,,,,4
"Barlow, Kevan",RB,SF,2004,15,244,822,7,46,35,212,,,,,,,2
"Barlow, Kevan",RB,SF,2005,12,175,576,3,42,31,241,,,,,,,1
"Barlow, Reggie",WR,TB,2003,4,,,,6,3,27,1,,,,,,1
"Barnes, Darian",RB,TB,2003,1,,,,1,1,6,,,,,,,
"Barnes, Darian",RB,DAL,2004,10,5,10,,13,10,59,1,,,,,,
"Barnes, Darian",RB,MIA,2005,3,,,,4,,,,,,,,,
"Bartrum, Mike",TE,PHI,2003,1,,,,1,,,,,,,,,
"Bartrum, Mike",TE,PHI,2004,3,,,,7,5,45,1,,,,,,
"Bartrum, Mike",TE,PHI,2005,2,,,,2,2,6,2,,,,,,
"Batch, Charlie",QB,PIT,2003,2,1,11,,,,,,8,4,47,,,1
"Batch, Charlie",QB,PIT,2005,3,11,30,1,,,,,36,23,246,1,1,
"Bates, D'wayne",WR,MIN,2003,9,,,,27,15,151,1,,,,,,
"Battle, Arnaz",WR,SF,2003,3,2,14,,1,,,,,,,,,
"Battle, Arnaz",WR,SF,2004,10,2,5,,16,8,143,,,,,,,
"Battle, Arnaz",WR,SF,2005,10,8,11,,53,32,363,3,,,,,,1
"Baxter, Fred",TE,NE,2003,1,,,,2,,,,,,,,,
"Baxter, Jarrod",RB,HOU,2004,1,2,1,,2,1,3,,,,,,,
"Baxter, Jarrod",RB,ARI,2005,2,,,,3,1,4,,,,,,,
"Beasley, Fred",RB,SF,2003,15,17,24,,28,19,184,1,,,,,,
"Beasley, Fred",RB,SF,2004,11,9,15,,24,10,44,,,,,,,
"Beasley, Fred",RB,SF,2005,3,,,,3,2,12,,,,,,,
"Becht, Anthony",TE,NYJ,2003,16,,,,58,40,356,4,,,,,,
"Becht, Anthony",TE,NYJ,2004,13,,,,29,13,100,1,,,,,,
"Becht, Anthony",TE,TB,2005,12,,,,25,16,112,,,,,,,
"Bell, Tatum",RB,DEN,2004,9,75,396,3,9,5,80,,,,,,,1
"Bell, Tatum",RB,DEN,2005,14,173,921,8,29,18,104,,,,,,,1
"Bellamy, Ronald",WR,MIA,2004,1,,,,2,1,8,,,,,,,
"Bennett, Brandon",RB,CIN,2003,14,56,173,,32,25,176,1,,,,,,2
"Bennett, Brandon",RB,CAR,2004,3,6,17,1,0,,,,,,,,,
"Bennett, Drew",WR,TEN,2003,12,,,,56,32,504,4,,,,,,
"Bennett, Drew",WR,TEN,2004,16,1,12,,143,80,1247,11,,,,,,
"Bennett, Drew",WR,TEN,2005,13,1,3,,109,58,738,4,,,,,,
"Bennett, Michael",RB,MIN,2003,8,90,447,1,14,12,132,,,,,,,1
"Bennett, Michael",RB,MIN,2004,10,70,276,1,23,21,207,1,,,,,,
"Bennett, Michael",RB,MIN,2005,16,126,473,3,34,27,124,2,,,,,,4
"Benson, Cedric",RB,CHI,2005,9,67,272,,1,1,3,,,,,,,1
"Bergen, Adam",TE,ARI,2005,16,,,,45,28,270,1,,,,,,
"Berlin, Eddie",WR,TEN,2003,2,,,,2,1,50,1,,,,,,
"Berlin, Eddie",WR,TEN,2004,15,,,,45,20,278,1,,,,,,
"Berlin, Eddie",WR,CHI,2005,1,,,,4,2,9,,,,,,,
"Berrian, Bernard",WR,CHI,2004,15,8,28,,44,15,225,2,,,,,,
"Berrian, Bernard",WR,CHI,2005,8,2,31,,26,13,246,,,,,,,
"Berton, Sean",TE,MIN,2004,7,,,,12,9,78,,,,,,,
"Berton, Sean",TE,NYG,2005,1,,,,1,1,3,,,,,,,
"Bettis, Jerome",RB,PIT,2003,16,246,811,7,21,13,86,,,,,,,4
"Bettis, Jerome",RB,PIT,2004,14,250,941,13,8,6,46,,,,,,,
"Bettis, Jerome",RB,PIT,2005,12,110,368,9,4,4,40,,,,,,,
"Betts, Ladell",RB,WAS,2003,9,77,255,2,22,15,167,,,,,,,
"Betts, Ladell",RB,WAS,2004,13,90,371,1,24,15,108,,,,,,,
"Betts, Ladell",RB,WAS,2005,12,89,338,1,17,10,78,1,,,,,,3
"Beuerlein, Steve",QB,DEN,2003,4,5,13,,,,,,63,33,389,2,5,
"Beverly, Eric",TE,ATL,2005,2,,,,3,,,,,,,,,
"Bickerstaff, Erik",RB,DAL,2003,4,19,56,1,,,,,,,,,,
"Blake, Jeff",QB,ARI,2003,13,31,179,2,,,,,368,208,2252,13,15,4
"Blake, Jeff",QB,PHI,2004,2,1,8,,,,,,37,18,126,1,1,
"Blake, Jeff",QB,CHI,2005,2,1,-1,,,,,,9,8,55,1,,
"Blakely, Dwayne",TE,ATL,2004,5,,,,5,4,35,,,,,,,
"Blakley, Dwayne",TE,ATL,2005,5,,,,6,4,30,1,,,,,,
"Blaylock, Derrick",RB,KC,2003,10,22,112,2,22,15,181,1,,,,,,
"Blaylock, Derrick",RB,KC,2004,12,118,539,8,35,25,244,1,,,,,,
"Blaylock, Derrick",RB,NYJ,2005,6,17,53,,5,3,17,,,,,,,
"Bledsoe, Drew",QB,BUF,2003,16,23,29,2,,,,,471,274,2860,11,12,9
"Bledsoe, Drew",QB,BUF,2004,16,20,52,,,,,,449,256,2932,20,16,5
"Bledsoe, Drew",QB,DAL,2005,16,34,50,2,,,,,499,300,3639,23,17,8
"Boerigter, Marc",WR,KC,2003,13,,,,28,11,158,,,,,,,
"Boerigter, Marc",WR,KC,2005,6,,,,17,8,119,,,,,,,
"Boldin, Anquan",WR,ARI,2003,16,5,40,,168,101,1377,8,,,,,,3
"Boldin, Anquan",WR,ARI,2004,10,1,3,,109,56,623,1,,,,,,1
"Boldin, Anquan",WR,ARI,2005,14,12,45,,176,102,1398,7,,,,,,1
"Boller, Kyle",QB,BAL,2003,10,30,52,,,,,,224,116,1260,7,9,5
"Boller, Kyle",QB,BAL,2004,16,53,189,1,,,,,464,258,2559,13,11,7
"Boller, Kyle",QB,BAL,2005,9,23,66,1,,,,,293,171,1799,11,12,2
"Bollinger, Brooks",QB,NYJ,2004,1,1,2,,,,,,9,5,60,,,
"Bollinger, Brooks",QB,NYJ,2005,11,34,138,,,,,,266,150,1558,7,6,1
"Booker, Marty",WR,CHI,2003,13,3,-7,,108,52,715,4,,,,,,
"Booker, Marty",WR,MIA,2004,15,1,-8,,107,50,638,1,,,,,,
"Booker, Marty",WR,MIA,2005,14,,,,87,39,686,3,,,,,,
"Boston, David",WR,SD,2003,14,3,18,,115,70,880,7,,,,,,2
"Boston, David",WR,MIA,2005,5,,,,10,4,80,,,,,,,
"Bouman, Todd",QB,NO,2003,3,4,1,,,,,,13,7,81,1,,1
"Bouman, Todd",QB,NO,2005,5,8,15,,,,,,122,68,722,2,7,3
"Bowers, R.J.",RB,CLE,2003,1,,,,1,1,2,1,,,,,,
"Bradford, Corey",WR,HOU,2003,15,,,,58,24,460,4,,,,,,
"Bradford, Corey",WR,HOU,2004,14,,,,57,27,399,3,,,,,,
"Bradford, Corey",WR,HOU,2005,15,1,-2,,62,34,436,5,,,,,,
"Bradley, Mark",WR,CHI,2005,7,,,,37,18,230,,,,,,,1
"Brady, Kyle",TE,JAX,2003,16,,,,46,29,281,1,,,,,,2
"Brady, Kyle",TE,JAX,2004,10,,,,24,14,103,1,,,,,,
"Brady, Kyle",TE,JAX,2005,14,,,,27,18,157,1,,,,,,2
"Brady, Tom",QB,NE,2003,16,42,63,1,,,,,528,317,3620,23,12,5
"Brady, Tom",QB,NE,2004,16,43,28,,,,,,474,288,3690,28,14,5
"Brady, Tom",QB,NE,2005,16,27,89,1,,,,,530,334,4110,26,14,3
"Branch, Deion",WR,NE,2003,15,1,11,,105,57,803,3,,,,,,
"Branch, Deion",WR,NE,2004,9,,,,54,35,454,4,,,,,,1
"Branch, Deion",WR,NE,2005,16,,,,127,78,998,5,,,,,,
"Brees, Drew",QB,SD,2003,11,21,84,,,,,,356,205,2108,11,15,3
"Brees, Drew",QB,SD,2004,15,53,85,2,,,,,400,262,3159,27,7,1
"Brees, Drew",QB,SD,2005,16,21,49,1,,,,,500,323,3576,24,15,5
"Brooks, Aaron",QB,NO,2003,16,52,183,2,,,,,518,306,3546,24,8,11
"Brooks, Aaron",QB,NO,2004,16,57,199,4,,,,,542,309,3810,21,16,2
"Brooks, Aaron",QB,NO,2005,13,45,281,2,,,,,431,240,2882,13,17,2
"Broughton, Nehemiah",RB,WAS,2005,1,1,3,,0,,,,,,,,,
"Brown, Antonio",WR,BUF,2003,1,1,17,,1,,,,,,,,,
"Brown, Antonio",WR,WAS,2005,2,2,7,,1,,,,,,,,,1
