Name,Pos,Team,Year,Games Plyd,Rush,Rush Yards,Rush TD,Target,Catch,Catch yards,Catch TD,Pass,Complete,Pass Yards,Pass TD,Int,Fum
"Addai, Joseph",RB,IND,2006,16,226,1081,7,50,40,325,1,,,,,,2
"Addai, Joseph",RB,IND,2007,15,261,1072,12,49,41,364,3,,,,,,
"Addai, Joseph",RB,IND,2008,12,155,544,5,39,25,206,2,,,,,1,0
"Adkisson, James",TE,OAK,2006,1,,,,2,1,9,,,,,,,
"Aiken, Sam",WR,BUF,2007,12,,,,2,1,10,,,,,,,
"Aiken, Sam",WR,NE,2008,14,0,0,0,11,8,101,0,,,,,0,0
"Alexander, Shaun",RB,SEA,2006,10,252,896,7,16,12,48,,,,,,,3
"Alexander, Shaun",RB,SEA,2007,13,207,716,4,25,14,76,1,,,,,,
"Alexander, Shaun",RB,WAS,2008,4,11,24,0,1,1,9,0,,,,,0,0
"Alexander, Stephen",TE,DEN,2006,13,,,,33,18,160,2,,,,,,
"Ali, Charles",RB,CLE,2008,15,0,0,0,6,4,13,0,,,,,0,0
"Allison, Aundrae",WR,MIN,2007,11,2,3,,18,8,122,,,,,,,1
"Allison, Aundrae",WR,MIN,2008,15,1,1,0,22,10,109,0,,,,,0,0
"Alstott, Mike",RB,TB,2006,15,60,171,3,38,21,85,,,,,,,1
"Anderson, Courtney",TE,OAK,2006,15,,,,47,25,285,2,,,,,,
"Anderson, David",WR,HOU,2006,2,,,,5,1,27,,,,,,,
"Anderson, David",WR,HOU,2007,8,,,,17,12,131,1,,,,,,
"Anderson, David",WR,HOU,2008,16,0,0,0,29,19,241,2,,,,,0,0
"Anderson, Deon",RB,DAL,2007,8,,,,6,6,55,,,,,,,
"Anderson, Deon",RB,DAL,2008,14,2,3,0,3,2,7,1,,,,,0,0
"Anderson, Derek",QB,CLE,2007,16,32,70,3,,,,,527,298,3787,29,19,2
"Anderson, Derek",QB,CLE,2008,10,25,55,0,,,,,283,142,1615,9,2,8
"Anderson, Mike",RB,BAL,2006,13,39,183,1,15,9,54,,,,,,,
"Anderson, Mike",RB,BAL,2007,8,15,62,,4,4,26,,,,,,,1
"Angulo, Richard",TE,JAC,2007,5,,,,9,8,81,1,,,,,,
"Angulo, Richard",TE,JAC,2008,15,0,0,0,11,8,63,0,,,,,0,0
"Aromashodu, Devin",WR,IND,2007,6,,,,17,7,96,,,,,,,
"Arrington, J.J.",RB,ARI,2006,12,14,19,,10,8,58,,,,,,,
"Arrington, J.J.",RB,ARI,2007,16,26,78,,40,29,241,1,,,,,,
"Arrington, J.J.",RB,ARI,2008,11,31,187,1,40,29,255,1,,,,,0,0
"Askew, B.J.",RB,NYJ,2006,10,6,11,,13,9,50,,,,,,,
"Askew, B.J.",RB,TB,2007,13,,,,21,18,175,,,,,,,
"Askew, B.J.",RB,TB,2008,10,7,14,2,18,13,66,0,,,,,0,0
"Austin, Miles",WR,DAL,2007,16,,,,10,5,76,,,,,,,
"Austin, Miles",WR,DAL,2008,12,0,0,0,23,13,278,3,,,,,0,0
"Avant, Jason",WR,PHI,2006,5,,,,15,7,68,1,,,,,,1
"Avant, Jason",WR,PHI,2007,15,1,1,,33,23,267,2,,,,,,
"Avant, Jason",WR,PHI,2008,15,0,0,0,57,32,377,2,,,,,0,0
"Avery, Donnie",WR,STL,2008,15,10,69,1,103,53,674,3,,,,,0,0
"Ayanbadejo, Obafemi",RB,ARI,2006,11,9,37,,19,17,139,,,,,,,
"Bajema, Billy",TE,SF,2006,1,,,,1,,,,,,,,,
"Bajema, Billy",TE,SF,2007,14,,,,1,,,,,,,,,
"Bajema, Billy",TE,SF,2008,16,0,0,0,4,2,34,0,,,,,0,0
"Baker, Chris",TE,NYJ,2006,16,,,,46,31,300,4,,,,,,
"Baker, Chris",TE,NYJ,2007,15,,,,61,41,409,3,,,,,,1
"Baker, Chris",TE,NYJ,2008,16,0,0,0,30,21,194,0,,,,,0,0
"Baker, Dallas",WR,PIT,2008,8,0,0,0,2,1,6,0,,,,,0,0
"Ball, Lance",RB,IND,2008,1,13,83,0,1,1,5,0,,,,,0,0
"Barber, Marion",RB,DAL,2006,16,136,654,14,33,23,196,2,,,,,,
"Barber, Marion",RB,DAL,2007,16,204,975,10,54,44,282,2,,,,,,
"Barber, Marion",RB,DAL,2008,15,238,885,7,61,52,417,2,,,,,3,0
"Barber, Tiki",RB,NYG,2006,16,327,1662,5,80,58,465,,,,,,,1
"Barclay, Chris",RB,NO,2007,10,1,3,,3,2,13,,,,,,,
"Barlow, Kevan",RB,NYJ,2006,12,131,370,6,10,7,21,,,,,,,
"Barnes, Darian",RB,MIA,2006,4,,,,6,3,22,,,,,,,
"Barnes, Darian",RB,NO,2008,4,0,0,0,0,0,0,0,,,,,0,0
"Barnidge, Gary",TE,CAR,2008,15,0,0,0,1,0,0,0,,,,,0,0
"Baskett, Hank",WR,PHI,2006,14,,,,45,22,464,2,,,,,,
"Baskett, Hank",WR,PHI,2007,16,,,,22,16,142,1,,,,,,
