Name,Pos,Team,Year,Games Plyd,Rush,Rush Yards,Rush TD,Target,Catch,Catch yards,Catch TD,Pass,Complete,Pass Yards,Pass TD,Int,Fum
"Banks, Tony",QB,HOU,2004,2,,,,,,,,2,1,16,,,
"Banks, Tony",QB,HOU,2005,1,2,-2,,,,,,25,14,173,1,2,
"Batch, Charlie",QB,PIT,2005,3,11,30,1,,,,,36,23,246,1,1,
"Batch, Charlie",QB,PIT,2006,7,13,12,,,,,,52,30,477,5,,1
"Blake, Jeff",QB,PHI,2004,2,1,8,,,,,,37,18,126,1,1,
"Blake, Jeff",QB,CHI,2005,2,1,-1,,,,,,9,8,55,1,,
"Bledsoe, Drew",QB,BUF,2004,16,20,52,,,,,,449,256,2932,20,16,5
"Bledsoe, Drew",QB,DAL,2005,16,34,50,2,,,,,499,300,3639,23,17,8
"Bledsoe, Drew",QB,DAL,2006,6,8,28,2,,,,,169,90,1164,7,8,1
"Boller, Kyle",QB,BAL,2004,16,53,189,1,,,,,464,258,2559,13,11,7
"Boller, Kyle",QB,BAL,2005,9,23,66,1,,,,,293,171,1799,11,12,2
"Boller, Kyle",QB,BAL,2006,4,22,34,,,,,,55,33,485,5,2,1
"Bollinger, Brooks",QB,NYJ,2004,1,1,2,,,,,,9,5,60,,,
"Bollinger, Brooks",QB,NYJ,2005,11,34,138,,,,,,266,150,1558,7,6,1
"Bollinger, Brooks",QB,MIN,2006,2,,,,,,,,18,13,146,,1,
"Bouman, Todd",QB,NO,2005,5,8,15,,,,,,122,68,722,2,7,3
"Brady, Tom",QB,NE,2004,16,43,28,,,,,,474,288,3690,28,14,5
"Brady, Tom",QB,NE,2005,16,27,89,1,,,,,530,334,4110,26,14,3
"Brady, Tom",QB,NE,2006,16,49,102,,,,,,517,320,3533,24,12,4
"Brees, Drew",QB,SD,2004,15,53,85,2,,,,,400,262,3159,27,7,1
"Brees, Drew",QB,SD,2005,16,21,49,1,,,,,500,323,3576,24,15,5
"Brees, Drew",QB,NO,2006,16,41,32,,,,,,555,357,4424,26,11,3
"Brooks, Aaron",QB,NO,2004,16,57,199,4,,,,,542,309,3810,21,16,2
"Brooks, Aaron",QB,NO,2005,13,45,281,2,,,,,431,240,2882,13,17,2
"Brooks, Aaron",QB,OAK,2006,8,22,124,,,,,,192,110,1105,3,8,3
"Brunell, Mark",QB,WAS,2004,9,19,62,,,,,,237,118,1194,7,6,3
"Brunell, Mark",QB,WAS,2005,16,42,111,,,,,,454,262,3050,23,10,6
"Brunell, Mark",QB,WAS,2006,10,13,34,,,,,,261,162,1789,8,4,1
"Bulger, Marc",QB,STL,2004,14,19,89,3,,,,,485,321,3964,21,14,4
"Bulger, Marc",QB,STL,2005,8,9,29,,,,,,287,192,2297,14,9,2
"Bulger, Marc",QB,STL,2006,16,18,44,,,,,,588,370,4301,24,8,3
"Campbell, Jason",QB,WAS,2006,7,23,112,,,,,,207,110,1297,10,6,
"Carr, David",QB,HOU,2004,16,72,303,,,,,,467,286,3539,16,14,2
"Carr, David",QB,HOU,2005,16,56,308,1,,,,,423,256,2488,14,11,6
"Carr, David",QB,HOU,2006,16,54,193,2,,,,,442,302,2765,11,12,7
"Carter, Quincy",QB,NYJ,2004,6,12,20,,,,,,58,35,498,3,1,
"Cassel, Matt",QB,NE,2005,2,6,13,,,,,,24,13,183,2,1,
"Cassel, Matt",QB,NE,2006,3,1,5,,,,,,8,5,32,,,1
"Chandler, Chris",QB,STL,2004,3,1,2,,,,,,62,35,460,2,8,1
"Clemens, Kellen",QB,NYJ,2006,2,2,10,,,,,,1,,,,,1
"Collins, Kerry",QB,OAK,2004,14,17,35,,,,,,513,289,3495,21,20,3
"Collins, Kerry",QB,OAK,2005,15,18,38,1,,,,,565,302,3759,20,12,4
"Collins, Kerry",QB,TEN,2006,3,,,,,,,,90,42,549,1,6,
"Collins, Todd",QB,KC,2004,1,1,4,,,,,,4,1,42,,,
"Collins, Todd",QB,KC,2005,1,2,-2,,,,,,0,,,,,
"Croyle, Brodie",QB,KC,2006,2,3,-3,,,,,,7,3,23,,2,
"Culpepper, Daunte",QB,MIN,2004,16,89,406,2,,,,,549,379,4717,39,11,4
"Culpepper, Daunte",QB,MIN,2005,7,23,148,1,,,,,216,139,1564,6,12,3
"Culpepper, Daunte",QB,MIA,2006,4,11,20,1,,,,,134,81,929,2,3,
"Cutler, Jay",QB,DEN,2006,5,12,18,,,,,,137,81,1001,9,5,2
"Davey, Rohan",QB,NE,2004,4,4,-1,,,,,,10,4,54,,,
"Delhomme, Jake",QB,CAR,2004,16,25,71,1,,,,,533,310,3886,29,15,5
"Delhomme, Jake",QB,CAR,2005,16,24,31,1,,,,,435,262,3421,24,16,6
"Delhomme, Jake",QB,CAR,2006,13,18,12,,,,,,431,263,2805,17,11,4
"Detmer, Koy",QB,PHI,2004,5,10,-7,,,,,,39,18,207,,2,1
"Detmer, Koy",QB,PHI,2005,5,1,1,,,,,,56,32,238,,3,2
"Dilfer, Trent",QB,SEA,2004,4,10,14,,,,,,58,25,333,1,3,
"Dilfer, Trent",QB,CLE,2005,11,20,46,,,,,,333,199,2321,11,12,7
"Dorsey, Ken",QB,SF,2004,8,5,7,,,,,,226,123,1231,6,9,3
"Dorsey, Ken",QB,SF,2005,3,4,11,,,,,,90,48,481,2,2,1
"Dorsey, Ken",QB,CLE,2006,1,,,,,,,,1,,,,,
"Favre, Brett",QB,GB,2004,16,16,36,,,,,,541,346,4086,30,17,1
"Favre, Brett",QB,GB,2005,16,18,62,,,,,,607,372,3881,20,29,7
"Favre, Brett",QB,GB,2006,16,23,28,1,,,,,614,343,3885,18,18,5
"Feeley, A.J.",QB,MIA,2004,11,14,13,1,,,,,356,191,1893,11,15,5
"Feeley, A.J.",QB,PHI,2006,2,1,3,,,,,,38,26,342,3,,1
"Fiedler, Jay",QB,MIA,2004,8,12,59,,,,,,190,101,1186,7,8,4
"Fiedler, Jay",QB,NYJ,2005,2,1,0,,,,,,13,8,107,1,,
"Fitzpatrick, Ryan",QB,STL,2005,4,14,64,2,,,,,135,76,777,4,8,1
"Fitzpatrick, Ryan",QB,STL,2006,1,3,,,,,,,,,,,,
"Flutie, Doug",QB,SD,2004,2,5,39,2,,,,,38,20,276,1,,
"Flutie, Doug",QB,NE,2005,4,5,-1,,,,,,10,5,29,,,1
"Frerotte, Gus",QB,MIN,2004,1,,,,,,,,1,,,,,
"Frerotte, Gus",QB,MIA,2005,16,27,61,,,,,,494,257,2996,18,13,4
"Frerotte, Gus",QB,STL,2006,1,,,,,,,,3,1,27,,,
"Frye, Charlie",QB,CLE,2005,7,17,53,1,,,,,165,98,1002,4,6,3
"Frye, Charlie",QB,CLE,2006,13,47,215,3,,,,,391,251,2449,10,17,7
"Gannon, Rich",QB,OAK,2004,3,5,26,,,,,,68,41,524,3,2,1
"Garcia, Jeff",QB,CLE,2004,11,34,169,2,,,,,252,144,1731,10,9,6
"Garcia, Jeff",QB,DET,2005,6,17,51,1,,,,,173,102,937,3,6,
"Garcia, Jeff",QB,PHI,2006,8,25,87,,,,,,188,116,1309,10,2,2
"Garrard, David",QB,JAX,2004,4,12,76,1,,,,,72,38,374,2,1,
"Garrard, David",QB,JAX,2005,7,31,172,3,,,,,168,98,1117,4,1,1
"Garrard, David",QB,JAX,2006,10,47,250,,,,,,241,145,1735,10,9,2
"Gradkowski, Bruce",QB,TB,2006,13,41,161,,,,,,328,177,1661,9,9,6
"Gray, Quinn",QB,JAX,2005,1,3,1,,,,,,14,8,100,2,,1
"Gray, Quinn",QB,JAX,2006,1,2,26,2,,,,,22,13,166,,,
"Green, Trent",QB,KC,2004,16,25,85,,,,,,556,369,4585,27,17,3
"Green, Trent",QB,KC,2005,16,35,82,,,,,,507,317,4014,17,10,4
"Green, Trent",QB,KC,2006,8,19,59,,,,,,198,121,1342,7,9,3
"Griese, Brian",QB,TB,2004,11,30,17,,,,,,336,233,2632,20,12,2
"Griese, Brian",QB,TB,2005,6,13,12,,,,,,174,112,1136,7,7,1
"Griese, Brian",QB,CHI,2006,5,6,-5,,,,,,32,18,220,1,2,1
"Grossman, Rex",QB,CHI,2004,3,11,48,1,,,,,84,47,607,1,3,2
"Grossman, Rex",QB,CHI,2005,2,,,,,,,,39,20,259,1,2,
"Grossman, Rex",QB,CHI,2006,16,24,2,,,,,,480,262,3197,23,20,6
"Harrington, Joey",QB,DET,2004,16,49,175,,,,,,489,274,3047,19,12,3
"Harrington, Joey",QB,DET,2005,12,25,80,,,,,,331,189,2021,12,12,4
"Harrington, Joey",QB,MIA,2006,11,19,17,,,,,,388,223,2236,12,15,
"Hasselbeck, Matt",QB,SEA,2004,14,28,94,1,,,,,474,279,3390,22,15,1
"Hasselbeck, Matt",QB,SEA,2005,16,36,124,1,,,,,449,294,3455,24,9,2
"Hasselbeck, Matt",QB,SEA,2006,12,18,110,,,,,,371,210,2442,18,15,2
"Hasselbeck, Tim",QB,NYG,2005,1,2,-3,,,,,,0,,,,,
"Henson, Drew",QB,DAL,2004,2,1,7,,,,,,18,10,78,1,1,1
"Hill, Shaun",QB,MIN,2005,1,2,-2,,,,,,0,,,,,
"Holcomb, Kelly",QB,CLE,2004,4,3,-2,,,,,,87,59,737,7,5,
"Holcomb, Kelly",QB,BUF,2005,10,18,11,1,,,,,230,155,1509,10,8,5
"Huard, Damon",QB,KC,2006,10,9,9,,,,,,244,148,1878,11,1,5
"Hutchinson, Chad",QB,CHI,2004,5,6,14,,,,,,161,92,903,4,3,4
"Jackson, Tarvaris",QB,MIN,2006,4,16,79,1,,,,,81,47,475,2,4,1
"Johnson, Brad",QB,TB,2004,4,5,23,,,,,,103,65,674,3,3,1
"Johnson, Brad",QB,MIN,2005,10,18,53,,,,,,293,183,1885,12,4,3
"Johnson, Brad",QB,MIN,2006,15,30,82,1,,,,,439,270,2750,9,15,4
"Johnson, Doug",QB,TEN,2004,2,2,-2,,,,,,12,6,68,,,
"King, Shaun",QB,ARI,2004,3,9,30,,,,,,84,47,502,1,4,1
"Kingsbury, Kliff",QB,NYJ,2005,1,,,,,,,,2,1,17,,,
"Kitna, Jon",QB,CIN,2004,4,10,42,,,,,,104,61,623,5,4,1
"Kitna, Jon",QB,CIN,2005,3,2,14,,,,,,29,17,99,,2,
"Kitna, Jon",QB,DET,2006,16,34,156,2,,,,,596,372,4208,21,22,9
"Krenzel, Craig",QB,CHI,2004,6,18,41,,,,,,127,59,718,3,6,6
"Leftwich, Byron",QB,JAX,2004,14,39,148,2,,,,,441,267,2941,15,10,1
"Leftwich, Byron",QB,JAX,2005,11,31,67,2,,,,,302,175,2123,15,5,3
"Leftwich, Byron",QB,JAX,2006,6,25,41,2,,,,,184,109,1158,7,5,
"Leinart, Matt",QB,ARI,2006,12,23,44,2,,,,,376,213,2542,11,12,2
"Lemon, Cleo",QB,MIA,2006,4,3,7,,,,,,68,38,412,2,1,
"Lorenzen, Jared",QB,NYG,2006,1,1,2,,,,,,,,,,,
"Losman, J.P.",QB,BUF,2004,3,2,15,,,,,,5,3,32,,1,1
"Losman, J.P.",QB,BUF,2005,9,31,154,,,,,,229,114,1340,8,8,3
"Losman, J.P.",QB,BUF,2006,16,38,140,1,,,,,430,269,3050,19,14,7
"Maddox, Tommy",QB,PIT,2004,4,9,15,,,,,,60,30,329,1,2,2
"Maddox, Tommy",QB,PIT,2005,3,8,26,,,,,,71,34,406,2,4,2
"Manning, Eli",QB,NYG,2004,8,6,35,,,,,,197,95,1043,6,9,1
"Manning, Eli",QB,NYG,2005,16,30,80,1,,,,,558,294,3762,24,17,2
"Manning, Eli",QB,NYG,2006,16,25,21,,,,,,522,301,3244,24,18,3
"Manning, Peyton",QB,IND,2004,16,25,38,,,,,,497,336,4557,49,10,1
"Manning, Peyton",QB,IND,2005,16,33,45,,,,,,453,305,3747,28,10,2
"Manning, Peyton",QB,IND,2006,16,23,36,4,,,,,557,362,4397,31,9,1
"Martin, Ingle",QB,GB,2006,1,2,-5,,,,,,,,,,,
"Martin, Jamie",QB,STL,2004,1,,,,,,,,31,16,188,,,
"Martin, Jamie",QB,STL,2005,8,9,6,,,,,,177,124,1277,5,7,1
"Martin, Jamie",QB,NO,2006,1,,,,,,,,24,16,208,1,1,1
"Matthews, Shane",QB,BUF,2004,2,2,-3,,,,,,3,2,44,1,,
"Mauck, Matt",QB,TEN,2005,2,7,39,,,,,,27,15,136,,1,1
"McCown, Josh",QB,ARI,2004,14,36,112,2,,,,,408,233,2511,11,10,5
"McCown, Josh",QB,ARI,2005,9,29,139,,,,,,270,163,1832,9,11,3
"McCown, Luke",QB,CLE,2004,4,5,25,,,,,,97,48,608,4,7,
"McMahon, Mike",QB,DET,2004,1,2,18,,,,,,15,11,77,,1,
"McMahon, Mike",QB,PHI,2005,9,34,118,3,,,,,207,94,1158,5,8,2
"McNabb, Donovan",QB,PHI,2004,15,42,221,3,,,,,470,300,3875,31,8,6
"McNabb, Donovan",QB,PHI,2005,9,25,55,1,,,,,357,211,2507,16,9,3
"McNabb, Donovan",QB,PHI,2006,10,32,212,3,,,,,316,180,2612,17,6,2
"McNair, Steve",QB,TEN,2004,8,21,130,1,,,,,215,129,1343,8,9,3
"McNair, Steve",QB,TEN,2005,14,32,139,1,,,,,476,292,3161,16,11,4
"McNair, Steve",QB,BAL,2006,16,45,119,1,,,,,468,295,3050,16,12,1
"Nall, Craig",QB,GB,2004,4,1,9,,,,,,33,23,314,4,,
"Navarre, John",QB,ARI,2004,1,,,,,,,,40,18,168,1,4,
"Navarre, John",QB,ARI,2005,1,,,,,,,,24,14,174,1,1,
"Orlovsky, Dan",QB,DET,2005,2,,,,,,,,17,7,63,,,1
"Orton, Kyle",QB,CHI,2005,15,24,42,,,,,,368,190,1869,9,13,5
"O'Sullivan, J.T.",QB,GB,2004,1,2,-2,,,,,,0,,,,,
"Palmer, Carson",QB,CIN,2004,13,18,47,1,,,,,432,263,2897,18,18,2
"Palmer, Carson",QB,CIN,2005,16,34,41,1,,,,,509,345,3836,32,12,2
"Palmer, Carson",QB,CIN,2006,16,26,35,,,,,,520,324,4036,28,13,7
"Pederson, Doug",QB,GB,2004,2,2,15,,,,,,23,11,120,,2,
"Peete, Rodney",QB,CAR,2004,1,1,-1,,,,,,1,1,3,,,
"Pennington, Chad",QB,NYJ,2004,13,34,126,1,,,,,370,242,2673,16,9,2
"Pennington, Chad",QB,NYJ,2005,3,6,27,,,,,,83,49,530,2,3,2
"Pennington, Chad",QB,NYJ,2006,16,36,111,,,,,,485,313,3352,17,16,4
"Pickett, Cody",QB,SF,2004,1,1,5,,,,,,10,4,55,,2,
"Pickett, Cody",QB,SF,2005,3,13,42,,,,,,35,14,140,,2,
"Plummer, Jake",QB,DEN,2004,16,60,215,1,,,,,522,303,4089,27,20,1
"Plummer, Jake",QB,DEN,2005,16,45,156,2,,,,,456,277,3366,18,7,2
"Plummer, Jake",QB,DEN,2006,12,36,112,1,,,,,317,175,1994,11,13,2
"Quinn, Jonathan",QB,CHI,2004,5,3,35,,,,,,98,51,413,1,3,
"Ramsey, Patrick",QB,WAS,2004,9,10,19,,,,,,272,169,1665,10,11,1
"Ramsey, Patrick",QB,WAS,2005,4,7,3,,,,,,25,15,279,1,1,1
"Ramsey, Patrick",QB,NYJ,2006,1,,,,,,,,1,,,,,
"Rattay, Tim",QB,SF,2004,9,12,55,,,,,,325,198,2169,10,10,6
"Rattay, Tim",QB,SF,2005,4,7,18,,,,,,97,56,667,5,6,2
"Rattay, Tim",QB,TB,2006,4,4,3,,,,,,101,61,748,4,2,1
"Rivers, Philip",QB,SD,2004,1,2,-1,,,,,,8,5,33,1,,
"Rivers, Philip",QB,SD,2005,2,1,-1,,,,,,22,12,115,,1,
"Rivers, Philip",QB,SD,2006,16,47,53,,,,,,460,284,3387,22,9,2
"Rodgers, Aaron",QB,GB,2005,3,2,7,,,,,,16,9,65,,1,
"Rodgers, Aaron",QB,GB,2006,1,2,11,,,,,,12,4,32,,,1
"Roethlisberger, Ben",QB,PIT,2004,14,56,144,1,,,,,295,196,2621,17,11,2
"Roethlisberger, Ben",QB,PIT,2005,12,31,69,3,,,,,268,168,2385,17,9,1
"Roethlisberger, Ben",QB,PIT,2006,15,32,98,2,,,,,470,281,3528,18,23,2
"Romo, Tony",QB,DAL,2005,1,2,-2,,,,,,0,,,,,
"Romo, Tony",QB,DAL,2006,13,34,102,,,,,,337,220,2903,19,13,3
"Rosenfels, Sage",QB,MIA,2004,2,,,,,,,,39,16,264,1,3,
"Rosenfels, Sage",QB,MIA,2005,4,6,15,,,,,,61,34,462,4,3,
"Rosenfels, Sage",QB,HOU,2006,3,4,5,,,,,,39,27,265,3,1,
"Schaub, Matt",QB,ATL,2004,6,8,26,,,,,,70,33,329,1,4,
"Schaub, Matt",QB,ATL,2005,6,9,76,,,,,,64,33,495,4,,1
"Schaub, Matt",QB,ATL,2006,4,7,21,,,,,,26,18,208,1,2,
"Simms, Chris",QB,TB,2004,4,7,14,,,,,,73,42,467,1,3,2
"Simms, Chris",QB,TB,2005,11,19,31,,,,,,313,191,2035,10,7,4
"Simms, Chris",QB,TB,2006,3,4,7,1,,,,,106,58,585,1,7,
"Smith, Alex",QB,SF,2005,9,30,103,,,,,,165,84,875,1,11,3
"Smith, Alex",QB,SF,2006,16,41,151,2,,,,,443,259,2901,16,15,4
"Sorgi, Jim",QB,IND,2004,4,8,-5,,,,,,29,17,175,2,,
"Sorgi, Jim",QB,IND,2005,3,12,1,,,,,,62,43,444,3,1,1
"St. Pierre, Brian",QB,PIT,2004,1,4,-3,,,,,,1,,,,,
"Stewart, Kordell",QB,BAL,2004,1,1,-1,,,,,,0,,,,,
"Stewart, Kordell",QB,BAL,2005,1,4,24,,,,,,0,,,,,
"Testaverde, Vinny",QB,DAL,2004,16,20,42,1,,,,,495,297,3532,17,20,4
"Testaverde, Vinny",QB,NYJ,2005,6,7,4,2,,,,,106,60,777,1,6,6
"Testaverde, Vinny",QB,NE,2006,3,8,-8,,,,,,3,2,29,1,,
"Tuiasosopo, Marques",QB,OAK,2005,1,2,19,,,,,,26,14,124,1,2,2
"Tuiasosopo, Marques",QB,OAK,2006,2,4,29,,,,,,13,6,68,1,2,
"Van Pelt, Bradlee",QB,DEN,2005,2,11,48,1,,,,,8,2,7,,,
"Vick, Michael",QB,ATL,2004,15,121,902,3,,,,,321,181,2313,14,12,7
"Vick, Michael",QB,ATL,2005,15,102,601,6,,,,,387,214,2412,15,13,5
"Vick, Michael",QB,ATL,2006,16,123,1039,2,,,,,389,205,2474,20,13,3
"Volek, Billy",QB,TEN,2004,10,11,50,1,,,,,357,218,2485,18,10,2
"Volek, Billy",QB,TEN,2005,5,1,3,,,,,,88,50,474,4,2,2
"Volek, Billy",QB,SD,2006,1,3,-3,,,,,,2,1,4,,,
"Wallace, Seneca",QB,SEA,2005,4,6,-5,,,,,,25,13,173,1,1,
"Wallace, Seneca",QB,SEA,2006,6,13,119,,,,,,141,82,927,8,7,3
"Walter, Andrew",QB,OAK,2006,12,14,30,,,,,,276,147,1677,3,13,9
"Warner, Kurt",QB,NYG,2004,10,13,30,1,,,,,277,174,2054,6,4,4
"Warner, Kurt",QB,ARI,2005,10,13,28,,,,,,375,242,2713,11,9,5
"Warner, Kurt",QB,ARI,2006,6,13,3,,,,,,168,108,1377,6,5,3
"Weinke, Chris",QB,CAR,2005,3,8,-5,,,,,,13,7,64,1,,
"Weinke, Chris",QB,CAR,2006,3,4,16,,,,,,96,56,625,2,4,
"Whitehurst, Charlie",QB,SD,2006,2,2,13,1,,,,,,,,,,
"Wright, Anthony",QB,BAL,2005,8,18,68,,,,,,266,164,1582,6,9,1
"Wright, Anthony",QB,CIN,2006,2,3,-3,,,,,,3,3,31,,,
"Young, Vince",QB,TEN,2006,15,82,553,7,,,,,356,184,2199,12,13,3
"Abdullah, Rabih",RB,NE,2004,6,13,13,1,2,1,9,,,,,,,
"Addai, Joseph",RB,IND,2006,16,226,1081,7,50,40,325,1,,,,,,2
"Alexander, Shaun",RB,SEA,2004,16,353,1688,16,39,23,170,4,,,,,,3
"Alexander, Shaun",RB,SEA,2005,16,370,1880,27,28,15,78,1,,,,,,1
"Alexander, Shaun",RB,SEA,2006,10,252,896,7,16,12,48,,,,,,,3
"Allen, David",RB,JAX,2004,2,,,,2,2,8,,,,,,,
"Alstott, Mike",RB,TB,2004,14,67,230,2,40,29,202,,,,,,,2
"Alstott, Mike",RB,TB,2005,16,34,80,6,38,25,222,1,,,,,,
"Alstott, Mike",RB,TB,2006,15,60,171,3,38,21,85,,,,,,,1
