Name,Pos,Team,Year,Games Plyd,Rush,Rush Yards,Rush TD,Target,Catch,Catch yards,Catch TD,Pass,Complete,Pass Yards,Pass TD,Int,Fum
"Addai, Joseph",RB,IND,2008,12,155,544,5,39,25,206,2,,,,,1,
"Addai, Joseph",RB,IND,2009,15,219,828,10,63,51,336,3,,,,,1,
"Addai, Joseph",RB,IND,2010,8,116,495,4,26,19,124,,,,,,,1
"Aiken, Sam",WR,NE,2008,14,,,,11,8,101,,,,,,,
"Aiken, Sam",WR,NE,2009,14,,,,41,20,326,2,,,,,,
"Aiken, Sam",WR,CLE,2010,3,,,,1,1,7,,,,,,,
"Ajirotutu, Seyi",WR,SD,2010,10,,,,23,13,262,2,,,,,,
"Alexander, Danario",WR,STL,2010,8,,,,37,20,306,1,,,,,,
"Alexander, Shaun",RB,WAS,2008,4,11,24,,1,1,9,,,,,,,
"Ali, Charles",RB,CLE,2008,15,,,,6,4,13,,,,,,,
"Allen, Jake",WR,GB,2009,3,,,,1,,,,,,,,,
"Allison, Aundrae",WR,MIN,2008,15,1,1,,22,10,109,,,,,,,
"Amendola, Danny",WR,STL,2009,14,3,-2,,63,43,326,1,,,,,,
"Amendola, Danny",WR,STL,2010,16,7,81,,123,85,689,3,,,,,,1
"Anderson, Andre",RB,BUF,2010,2,,,,,,,,,,,,,
"Anderson, David",WR,HOU,2008,16,,,,29,19,241,2,,,,,,
"Anderson, David",WR,HOU,2009,16,,,,53,38,370,,,,,,,
"Anderson, David",WR,HOU,2010,12,,,,18,11,117,,,,,,,
"Anderson, Deon",RB,DAL,2008,14,2,3,,3,2,7,1,,,,,,
"Anderson, Deon",RB,DAL,2009,16,,,,3,1,5,,,,,,,
"Anderson, Deon",RB,DAL,2010,1,,,,,,,,,,,,,
"Anderson, Derek",QB,CLE,2008,10,25,55,,,,,,283,142,1615,9,2,8
"Anderson, Derek",QB,CLE,2009,8,10,8,2,,,,,182,81,888,3,3,10
"Anderson, Derek",QB,ARI,2010,12,5,25,,,,,,327,169,2065,7,10,3
"Angulo, Richard",TE,JAC,2008,15,,,,11,8,63,,,,,,,
"Armstrong, Anthony",WR,WAS,2010,15,,,,86,44,871,3,,,,,,1
"Aromashodu, Devin",WR,CHI,2009,10,,,,43,24,298,4,,,,,,
"Aromashodu, Devin",WR,CHI,2010,14,,,,24,10,149,,,,,,,
"Arrington, Adrian",WR,NO,2010,1,,,,9,7,79,,,,,,,
"Arrington, J.J.",RB,ARI,2008,11,31,187,1,40,29,255,1,,,,,,
"Askew, B.J.",RB,TB,2008,10,7,14,2,18,13,66,,,,,,,
"Askew, B.J.",RB,TB,2009,5,1,,,2,2,3,,,,,,,
"Austin, Miles",WR,DAL,2008,12,,,,23,13,278,3,,,,,,
"Austin, Miles",WR,DAL,2009,16,2,-2,,124,81,1320,11,,,,,,
"Austin, Miles",WR,DAL,2010,16,7,93,1,119,69,1041,7,,,,,,1
